patient_id,patient_name,aadhaar_number,age,blood_pressure,heart_rate,oxygen_saturation,blood_sugar,bmi,hemoglobin,platelets,doctor_notes,risk_level
P-20000,Patient_0,1882-5761-6867,24,101,91,98.2,200,27.7,14.8,411497,"Patient Name: Patient_0, Aadhaar: 1882-5761-6867. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20001,Patient_1,7963-8166-8929,73,138,93,92.9,145,26.8,11.6,215133,"Patient Name: Patient_1, Aadhaar: 7963-8166-8929. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20002,Patient_2,6347-8269-9125,84,131,70,95.2,99,31.7,12.6,347530,"Patient Name: Patient_2, Aadhaar: 6347-8269-9125. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20003,Patient_3,3454-5494-2946,33,127,69,98.6,90,19.3,12.7,308598,"Patient Name: Patient_3, Aadhaar: 3454-5494-2946. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",0
P-20004,Patient_4,3808-7642-4825,68,134,74,95.0,225,31.4,12.4,278585,"Patient Name: Patient_4, Aadhaar: 3808-7642-4825. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20005,Patient_5,4536-7068-4802,29,124,76,96.5,230,31.6,13.8,395172,"Patient Name: Patient_5, Aadhaar: 4536-7068-4802. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20006,Patient_6,5699-2970-6806,70,119,99,96.6,232,22.9,13.9,275814,"Patient Name: Patient_6, Aadhaar: 5699-2970-6806. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20007,Patient_7,7142-3819-1364,22,119,77,93.5,103,25.7,13.0,175939,"Patient Name: Patient_7, Aadhaar: 7142-3819-1364. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20008,Patient_8,5258-4119-2863,44,95,68,94.9,110,25.3,12.9,303939,"Patient Name: Patient_8, Aadhaar: 5258-4119-2863. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20009,Patient_9,1115-8084-9016,29,156,84,94.6,120,21.9,15.6,412347,"Patient Name: Patient_9, Aadhaar: 1115-8084-9016. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20010,Patient_10,3384-4935-8742,34,96,99,92.2,151,24.7,15.3,441207,"Patient Name: Patient_10, Aadhaar: 3384-4935-8742. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20011,Patient_11,6442-3490-7980,23,141,73,92.2,127,19.2,12.7,240880,"Patient Name: Patient_11, Aadhaar: 6442-3490-7980. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20012,Patient_12,8661-2724-9182,22,103,84,98.6,144,22.8,16.0,153748,"Patient Name: Patient_12, Aadhaar: 8661-2724-9182. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",0
P-20013,Patient_13,3767-2137-5117,74,104,109,94.2,92,31.2,16.2,386094,"Patient Name: Patient_13, Aadhaar: 3767-2137-5117. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20014,Patient_14,4420-6845-5778,45,110,81,96.1,197,22.9,12.8,301956,"Patient Name: Patient_14, Aadhaar: 4420-6845-5778. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20015,Patient_15,4906-4637-3953,76,124,89,94.4,219,31.2,12.9,306255,"Patient Name: Patient_15, Aadhaar: 4906-4637-3953. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20016,Patient_16,6929-1276-2999,50,155,79,99.4,86,26.7,13.8,300331,"Patient Name: Patient_16, Aadhaar: 6929-1276-2999. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20017,Patient_17,2227-7337-4735,79,91,80,94.0,138,32.1,16.2,317031,"Patient Name: Patient_17, Aadhaar: 2227-7337-4735. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20018,Patient_18,1695-5152-8901,67,124,103,95.4,177,27.4,15.8,275829,"Patient Name: Patient_18, Aadhaar: 1695-5152-8901. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20019,Patient_19,8470-8537-3841,36,109,91,98.9,208,19.0,11.6,278216,"Patient Name: Patient_19, Aadhaar: 8470-8537-3841. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
P-20020,Patient_20,5208-9733-2088,83,99,105,98.7,163,29.0,13.2,215901,"Patient Name: Patient_20, Aadhaar: 5208-9733-2088. Complaining of acute chest pain and dyspnea. Dr. Sharma attending.",1
P-20021,Patient_21,4363-1024-7144,64,114,108,93.5,84,19.2,14.0,393386,"Patient Name: Patient_21, Aadhaar: 4363-1024-7144. Routine health checkup. Vitals within normal limits. Dr. Gupta attending.",1
P-20022,Patient_22,6668-5236-9068,56,155,80,98.3,160,25.5,13.8,325607,"Patient Name: Patient_22, Aadhaar: 6668-5236-9068. Admitted with elevated blood pressure and severe fatigue. Dr. Patel attending.",1
P-20023,Patient_23,3235-8295-9392,50,114,94,95.6,232,32.9,12.1,248046,"Patient Name: Patient_23, Aadhaar: 3235-8295-9392. Follow-up consultation for type-2 diabetes management. Dr. Rao attending.",1
P-20024,Patient_24,9448-4747-4175,30,143,91,95.8,102,21.1,15.7,228278,"Patient Name: Patient_24, Aadhaar: 9448-4747-4175. Mild fever and body ache observed. Prescribed antipyretics. Dr. Singh attending.",1
