patient_id,patient_name,aadhaar_number,age,blood_pressure,heart_rate,oxygen_saturation,blood_sugar,bmi,hemoglobin,platelets,doctor_notes
P-30000,Patient_0,6457-7079-3430,53,108,62,92.4,101,25.2,11.3,331726,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30001,Patient_1,2879-8542-3011,62,107,94,97.7,100,21.1,12.6,255723,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30002,Patient_2,4373-8357-2289,53,119,92,95.8,151,29.5,13.6,283114,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30003,Patient_3,2447-4199-7381,39,131,83,98.7,112,26.8,11.9,183477,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30004,Patient_4,8522-7059-4183,78,122,78,95.0,204,28.3,13.0,264161,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30005,Patient_5,6462-4216-4136,73,101,77,93.3,174,21.5,13.2,309788,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30006,Patient_6,4318-3782-8657,50,116,108,98.6,70,21.8,11.3,448162,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30007,Patient_7,5920-7324-7327,62,128,83,96.3,130,19.1,14.2,289133,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30008,Patient_8,9417-1776-6208,53,98,104,93.5,83,23.5,15.9,289681,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
P-30009,Patient_9,1687-1529-6067,37,110,94,97.7,75,27.2,11.8,447515,"Patient Name: John Doe, Aadhaar: 1234-5678-9012. Admitted with mild fever. Dr. Smith attending."
